"Name","Team","GP","Top 24","RB1","RB2","RB3","RB4+"
"D'Ernest Johnson","CLE","15","0.0%","0.0%","0.0%","0.0%","100.0%"
"Tony Jones Jr.","NO","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Larry Rountree III","LAC","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Ke'Shawn Vaughn","TB","15","0.0%","0.0%","0.0%","0.0%","100.0%"
"Patrick Taylor","GB","14","0.0%","0.0%","0.0%","0.0%","100.0%"
"Salvon Ahmed","MIA","12","0.0%","0.0%","0.0%","8.3%","91.7%"
"Darrynton Evans","CHI","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Demetric Felton Jr.","CLE","8","0.0%","0.0%","0.0%","0.0%","100.0%"
"Ronnie Rivers","LAR","8","0.0%","0.0%","0.0%","0.0%","100.0%"
"Keaontay Ingram","ARI","12","0.0%","0.0%","0.0%","8.3%","91.7%"
"Gary Brightwell","NYG","17","0.0%","0.0%","0.0%","11.8%","88.2%"
"Kene Nwangwu","MIN","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Tory Carter","TEN","9","0.0%","0.0%","0.0%","0.0%","100.0%"
"Avery Williams","ATL","17","0.0%","0.0%","0.0%","5.9%","94.1%"
"Adam Prentice","NO","11","0.0%","0.0%","0.0%","0.0%","100.0%"
"Tyrion Davis-Price","SF","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Isaiah Spiller","LAC","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jerome Ford","CLE","13","0.0%","0.0%","0.0%","0.0%","100.0%"
"Kyren Williams","LAR","10","0.0%","0.0%","0.0%","0.0%","100.0%"
"Snoop Conner","JAX","8","0.0%","0.0%","0.0%","12.5%","87.5%"
"Hassan Haskins","TEN","15","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jordan Mason","SF","16","0.0%","0.0%","0.0%","12.5%","87.5%"
"Trestan Ebner","CHI","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Julius Chestnut","TEN","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Zander Horvath","LAC","15","0.0%","0.0%","0.0%","13.3%","86.7%"
"Malik Davis","DAL","12","0.0%","0.0%","0.0%","16.7%","83.3%"
"Troy Hairston","HOU","16","0.0%","0.0%","0.0%","0.0%","100.0%"
