"Name","Team","GP","Top 24","WR1","WR2","WR3","WR4+"
"Nick Westbrook-Ikhine","TEN","17","5.9%","5.9%","0.0%","5.9%","88.2%"
"Quez Watkins","PHI","17","5.9%","0.0%","5.9%","11.8%","82.4%"
"Shi Smith","CAR","17","5.9%","0.0%","5.9%","5.9%","88.2%"
"DeSean Jackson","BAL","7","0.0%","0.0%","0.0%","0.0%","100.0%"
"Julio Jones","TB","10","0.0%","0.0%","0.0%","20.0%","80.0%"
"Cole Beasley","TB","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Sammy Watkins","GB","12","0.0%","0.0%","0.0%","8.3%","91.7%"
"Willie Snead IV","SF","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Kevin White","NO","7","0.0%","0.0%","0.0%","0.0%","100.0%"
"Breshad Perriman","TB","11","0.0%","0.0%","0.0%","9.1%","90.9%"
"Phillip Dorsett","HOU","15","0.0%","0.0%","0.0%","13.3%","86.7%"
"Chris Conley","HOU","9","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jamison Crowder","BUF","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jake Kumerow","BUF","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Laquon Treadwell","SEA","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Pharoh Cooper","ARI","5","0.0%","0.0%","0.0%","0.0%","100.0%"
"Marcus Johnson","NYG","14","0.0%","0.0%","0.0%","0.0%","100.0%"
"Mike Thomas","CIN","10","0.0%","0.0%","0.0%","0.0%","100.0%"
"Kenny Golladay","NYG","12","0.0%","0.0%","0.0%","8.3%","91.7%"
"Trent Taylor","CIN","16","0.0%","0.0%","0.0%","0.0%","100.0%"
"C.J. Board","TEN","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Cody Hollister","TEN","11","0.0%","0.0%","0.0%","0.0%","100.0%"
"River Cracraft","MIA","11","0.0%","0.0%","0.0%","0.0%","100.0%"
"Tre'Quan Smith","NO","15","0.0%","0.0%","0.0%","20.0%","86.7%"
