"Name","Team","GP","Top 12","TE 1-6","TE 7-12","TE2","TE3+"
"Giovanni Ricci","CAR","15","0.0%","0.0%","0.0%","6.7%","93.3%"
"Devin Asiasi","CIN","12","0.0%","0.0%","0.0%","0.0%","100.0%"
"Sean McKeon","DAL","13","0.0%","0.0%","0.0%","0.0%","100.0%"
"Luke Farrell","JAX","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Josiah Deguara","GB","17","0.0%","0.0%","0.0%","5.9%","94.1%"
"Stephen Sullivan","CAR","14","0.0%","0.0%","0.0%","0.0%","100.0%"
"Charlie Woerner","SF","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Tyler Davis","GB","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Ben Ellefson","MIN","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Feleipe Franks","ATL","11","0.0%","0.0%","0.0%","0.0%","100.0%"
"Brevin Jordan","HOU","11","0.0%","0.0%","0.0%","9.1%","90.9%"
"Hunter Long","MIA","9","0.0%","0.0%","0.0%","0.0%","100.0%"
"Quintin Morris","BUF","14","0.0%","0.0%","0.0%","7.1%","92.9%"
"Tre' McKitty","LAC","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Kenny Yeboah","NYJ","10","0.0%","0.0%","0.0%","0.0%","100.0%"
"Cole Turner","WAS","10","0.0%","0.0%","0.0%","0.0%","100.0%"
"Peyton Hendershot","DAL","17","0.0%","0.0%","0.0%","23.5%","76.5%"
"Miller Forristall","CLE","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jeremy Ruckert","NYJ","9","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jack Stoll","PHI","17","0.0%","0.0%","0.0%","11.8%","88.2%"
"Kylen Granson","IND","13","0.0%","0.0%","0.0%","30.8%","69.2%"
"Parker Hesse","ATL","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Nikola Kalinic","IND","7","0.0%","0.0%","0.0%","0.0%","100.0%"
"Grant Calcaterra","PHI","15","0.0%","0.0%","0.0%","6.7%","93.3%"
"Ko Kieft","TB","17","0.0%","0.0%","0.0%","5.9%","94.1%"
"Stone Smartt","LAC","7","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jake Tonges","CHI","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Tanner Conner","MIA","13","0.0%","0.0%","0.0%","0.0%","100.0%"
"Armani Rogers","WAS","11","0.0%","0.0%","0.0%","9.1%","90.9%"
